Compound	RNA.molecule	Compound.CID
2-(1-(4-(2-(2-hydroxyethoxy)ethyl)piperazino))naphthazarin	hsa-mir-507	376948
2-(1-(4-(2-(2-hydroxyethoxy)ethyl)piperazino))naphthazarin	hsa-mir-517c	376948
2-(1-(4-(2-(2-hydroxyethoxy)ethyl)piperazino))naphthazarin	hsa-mir-93	376948
2-(1-(4-(2-(2-hydroxyethoxy)ethyl)piperazino))naphthazarin	hsa-mir-99a	376948
2-(1-(4-(2-pyridyl)piperazino))naphthazarin	hsa-mir-210	376947
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-let-7c	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-let-7e	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-100	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-106a	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-10a	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-10b	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-125a	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-125b-1	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-142	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-18a	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-193a	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-193b	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-20a	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-21	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-23a	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-23b	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-24-1	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-24-2	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-25	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-27a	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-27b	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-28	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-365-1	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-409	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-92a-2	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-93	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-99a	286254
"2(1h)-quinoxalinone, 3-(bromomethyl)-"	hsa-mir-99b	286254
2-(1-piperazino)naphthazarin	hsa-let-7a-1	376949
2-(1-piperazino)naphthazarin	hsa-let-7b	376949
2-(1-piperazino)naphthazarin	hsa-let-7e	376949
2-(1-piperazino)naphthazarin	hsa-let-7i	376949
2-(1-piperazino)naphthazarin	hsa-mir-100	376949
2-(1-piperazino)naphthazarin	hsa-mir-106a	376949
2-(1-piperazino)naphthazarin	hsa-mir-10b	376949
2-(1-piperazino)naphthazarin	hsa-mir-125a	376949
2-(1-piperazino)naphthazarin	hsa-mir-125b-1	376949
2-(1-piperazino)naphthazarin	hsa-mir-125b-2	376949
2-(1-piperazino)naphthazarin	hsa-mir-127	376949
2-(1-piperazino)naphthazarin	hsa-mir-138-1	376949
2-(1-piperazino)naphthazarin	hsa-mir-138-2	376949
2-(1-piperazino)naphthazarin	hsa-mir-140	376949
2-(1-piperazino)naphthazarin	hsa-mir-142	376949
2-(1-piperazino)naphthazarin	hsa-mir-154	376949
2-(1-piperazino)naphthazarin	hsa-mir-155	376949
2-(1-piperazino)naphthazarin	hsa-mir-18a	376949
2-(1-piperazino)naphthazarin	hsa-mir-193a	376949
2-(1-piperazino)naphthazarin	hsa-mir-193b	376949
2-(1-piperazino)naphthazarin	hsa-mir-20a	376949
2-(1-piperazino)naphthazarin	hsa-mir-20b	376949
2-(1-piperazino)naphthazarin	hsa-mir-210	376949
2-(1-piperazino)naphthazarin	hsa-mir-21	376949
2-(1-piperazino)naphthazarin	hsa-mir-22	376949
2-(1-piperazino)naphthazarin	hsa-mir-23a	376949
2-(1-piperazino)naphthazarin	hsa-mir-23b	376949
2-(1-piperazino)naphthazarin	hsa-mir-24-1	376949
2-(1-piperazino)naphthazarin	hsa-mir-24-2	376949
2-(1-piperazino)naphthazarin	hsa-mir-25	376949
2-(1-piperazino)naphthazarin	hsa-mir-27b	376949
2-(1-piperazino)naphthazarin	hsa-mir-28	376949
2-(1-piperazino)naphthazarin	hsa-mir-296	376949
2-(1-piperazino)naphthazarin	hsa-mir-299	376949
2-(1-piperazino)naphthazarin	hsa-mir-30a	376949
2-(1-piperazino)naphthazarin	hsa-mir-30b	376949
2-(1-piperazino)naphthazarin	hsa-mir-30e	376949
2-(1-piperazino)naphthazarin	hsa-mir-31	376949
2-(1-piperazino)naphthazarin	hsa-mir-337	376949
2-(1-piperazino)naphthazarin	hsa-mir-339	376949
2-(1-piperazino)naphthazarin	hsa-mir-34a	376949
2-(1-piperazino)naphthazarin	hsa-mir-365-1	376949
2-(1-piperazino)naphthazarin	hsa-mir-365-2	376949
2-(1-piperazino)naphthazarin	hsa-mir-382	376949
2-(1-piperazino)naphthazarin	hsa-mir-409	376949
2-(1-piperazino)naphthazarin	hsa-mir-450a-2	376949
2-(1-piperazino)naphthazarin	hsa-mir-493	376949
2-(1-piperazino)naphthazarin	hsa-mir-495	376949
2-(1-piperazino)naphthazarin	hsa-mir-505	376949
2-(1-piperazino)naphthazarin	hsa-mir-517c	376949
2-(1-piperazino)naphthazarin	hsa-mir-92a-2	376949
2-(1-piperazino)naphthazarin	hsa-mir-93	376949
2-(1-piperazino)naphthazarin	hsa-mir-99a	376949
2-(1-piperazino)naphthazarin	hsa-mir-99b	376949
"2-(1-propynyl)-3,17.beta.-estradiol"	hsa-mir-141	388008
"2-(1-propynyl)-3,17.beta.-estradiol"	hsa-mir-151	388008
"2-(1-propynyl)-3,17.beta.-estradiol"	hsa-mir-200b	388008
"2-(1-propynyl)-3,17.beta.-estradiol"	hsa-mir-200c	388008
"2-(1-propynyl)-3,17.beta.-estradiol"	hsa-mir-21	388008
"2-(1-propynyl)-3,17.beta.-estradiol"	hsa-mir-28	388008
"2-(1-propynyl)-3,17.beta.-estradiol"	hsa-mir-30a	388008
"2-(1-propynyl)-3,17.beta.-estradiol"	hsa-mir-34c	388008
2-(2-(2-butoxyethoxy)ethoxy)naphthazarin	hsa-mir-148b	378625
2-(2-(2-butoxyethoxy)ethoxy)naphthazarin	hsa-mir-18b	378625
2-(2-(2-butoxyethoxy)ethoxy)naphthazarin	hsa-mir-204	378625
2-(2-(2-butoxyethoxy)ethoxy)naphthazarin	hsa-mir-362	378625
2-(2-(2-butoxyethoxy)ethoxy)naphthazarin	hsa-mir-363	378625
2-(2-(2-butoxyethoxy)ethoxy)naphthazarin	hsa-mir-501	378625
2-(2-(2-butoxyethoxy)ethoxy)naphthazarin	hsa-mir-509-1	378625
2-(2-(2-methoxyethoxy)ethoxy)naphthazarin	hsa-mir-509-1	378623
"[2,2'-bithiophene]-5-carboxaldehyde"	hsa-mir-521-2	364428
2-(2-butoxyethoxy)naphthazarin	hsa-mir-509-1	378624
2-(2-chloroethoxy)naphthazarin	hsa-mir-182	378770
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-100	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-105-2	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-106a	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-10a	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-10b	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-125a	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-125b-1	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-125b-2	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-128-1	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-128-2	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-142	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-151	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-17	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-18a	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-193a	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-193b	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-19b-1	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-19b-2	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-20a	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-20b	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-219-1	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-21	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-22	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-23a	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-23b	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-24-1	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-24-2	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-25	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-27a	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-27b	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-28	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-31	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-32	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-339	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-34c	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-365-1	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-365-2	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-92a-1	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-92a-2	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-93	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-99a	357621
"(2,2-dimethyl)-1,3-propandiyl-bis(2,3-dichloro)maleimide"	hsa-mir-99b	357621
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-let-7b	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-127	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-138-2	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-139	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-154	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-20b	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-210	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-21	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-22	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-23a	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-23b	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-24-2	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-299	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-329-2	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-409	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-450a-2	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-486	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-493	376950
2-(2-(dimethylamino)ethylamino)naphthazarin	hsa-mir-505	376950
"2,2'-disulfanediyldiquinolin-8-ol"	hsa-mir-138-1	276707
"2,2'-disulfanediyldiquinolin-8-ol"	hsa-mir-138-2	276707
"2,2'-disulfanediyldiquinolin-8-ol"	hsa-mir-24-1	276707
"2,2'-disulfanediyldiquinolin-8-ol"	hsa-mir-24-2	276707
"2,2'-disulfanediyldiquinolin-8-ol"	hsa-mir-27b	276707
"2,2'-disulfanediyldiquinolin-8-ol"	hsa-mir-337	276707
"2,2'-disulfanediyldiquinolin-8-ol"	hsa-mir-517c	276707
2-[2 - furfuryl - 5)p-phenylene] benzothiazole	hsa-mir-101-1	24203185
2-[2 - furfuryl - 5)p-phenylene] benzothiazole	hsa-mir-10a	24203185
2-[2 - furfuryl - 5)p-phenylene] benzothiazole	hsa-mir-296	24203185
2-[2 - furfuryl - 5)p-phenylene] benzothiazole	hsa-mir-33b	24203185
2-[2 - furfuryl - 5)p-phenylene] benzothiazole	hsa-mir-377	24203185
2-[2 - furfuryl - 5)p-phenylene] benzothiazole	hsa-mir-494	24203185
2-[2 - furfuryl - 5)p-phenylene] benzothiazole	hsa-mir-497	24203185
2-[2 - furfuryl - 5)p-phenylene] benzothiazole	hsa-mir-518a-2	24203185
2-[2 - furfuryl - 5)p-phenylene] benzothiazole	hsa-mir-521-1	24203185
2-[2 - furfuryl - 5)p-phenylene] benzothiazole	hsa-mir-521-2	24203185
2-[2 - furfuryl - 5)p-phenylene] benzothiazole	hsa-mir-95	24203185
22-hydroxytingenone	hsa-let-7a-1	73147
22-hydroxytingenone	hsa-let-7a-3	73147
22-hydroxytingenone	hsa-let-7b	73147
22-hydroxytingenone	hsa-let-7c	73147
22-hydroxytingenone	hsa-let-7e	73147
22-hydroxytingenone	hsa-mir-100	73147
22-hydroxytingenone	hsa-mir-105-2	73147
22-hydroxytingenone	hsa-mir-10b	73147
22-hydroxytingenone	hsa-mir-125a	73147
22-hydroxytingenone	hsa-mir-125b-1	73147
22-hydroxytingenone	hsa-mir-125b-2	73147
22-hydroxytingenone	hsa-mir-142	73147
22-hydroxytingenone	hsa-mir-151	73147
22-hydroxytingenone	hsa-mir-18a	73147
22-hydroxytingenone	hsa-mir-193a	73147
22-hydroxytingenone	hsa-mir-193b	73147
22-hydroxytingenone	hsa-mir-20a	73147
22-hydroxytingenone	hsa-mir-20b	73147
22-hydroxytingenone	hsa-mir-219-1	73147
22-hydroxytingenone	hsa-mir-21	73147
22-hydroxytingenone	hsa-mir-22	73147
22-hydroxytingenone	hsa-mir-23a	73147
22-hydroxytingenone	hsa-mir-23b	73147
22-hydroxytingenone	hsa-mir-24-1	73147
22-hydroxytingenone	hsa-mir-24-2	73147
22-hydroxytingenone	hsa-mir-27a	73147
22-hydroxytingenone	hsa-mir-27b	73147
22-hydroxytingenone	hsa-mir-28	73147
22-hydroxytingenone	hsa-mir-31	73147
22-hydroxytingenone	hsa-mir-339	73147
22-hydroxytingenone	hsa-mir-365-1	73147
22-hydroxytingenone	hsa-mir-365-2	73147
22-hydroxytingenone	hsa-mir-93	73147
22-hydroxytingenone	hsa-mir-99a	73147
22-hydroxytingenone	hsa-mir-99b	73147
2-(2-phenyl-4-quinazolinylamino)ethyl pivalate	hsa-mir-205	1643479
"2-(3,4-dibromo-4-methylpentyl)-1,3-butadiene"	hsa-mir-142	377927
"2-(3,4-dibromo-4-methylpentyl)-1,3-butadiene"	hsa-mir-193b	377927
"2-(3,4-dibromo-4-methylpentyl)-1,3-butadiene"	hsa-mir-23a	377927
"2-(3,4-dibromo-4-methylpentyl)-1,3-butadiene"	hsa-mir-23b	377927
"2-(3,4-dibromo-4-methylpentyl)-1,3-butadiene"	hsa-mir-27b	377927
"2-(3,4-dibromo-4-methylpentyl)-1,3-butadiene"	hsa-mir-517c	377927
"2-(3,4-dibromo-4-methylpentyl)-1,3-butadiene"	hsa-mir-93	377927
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-100	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-106a	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-10a	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-10b	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-125a	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-125b-1	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-128-1	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-128-2	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-142	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-151	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-17	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-181a-1	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-181a-2	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-181b-1	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-181c	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-18a	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-193a	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-193b	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-195	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-19b-1	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-19b-2	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-20a	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-20b	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-22	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-23a	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-23b	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-24-1	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-24-2	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-25	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-27b	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-28	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-32	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-342	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-34c	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-365-1	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-365-2	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-92a-2	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-93	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-99a	377930
"2,3,6-tribromo-7-chloro-3,7-dimethyl-1-octene"	hsa-mir-99b	377930
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-106a	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-128-2	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-142	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-18a	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-193a	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-193b	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-20a	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-20b	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-22	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-23a	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-23b	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-24-1	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-24-2	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-25	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-27b	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-339	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-33a	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-34c	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-92a-1	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-92a-2	5473313
2-[3-chloro-3-(4-chloro-phenyl)-allylidene]-malononitrile	hsa-mir-93	5473313
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-101-2	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-106a	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-128-2	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-142	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-146b	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-17	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-18a	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-19a	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-19b-1	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-19b-2	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-20a	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-20b	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-23a	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-23b	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-24-2	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-27a	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-27b	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-33a	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-92a-1	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-92a-2	5473088
2-(3-chloro-3-p-tolyl-allylidene)-malonitrile	hsa-mir-93	5473088
2-(3-chloropropyloxy)naphthazarin	hsa-let-7a-1	378771
2-(3-chloropropyloxy)naphthazarin	hsa-mir-127	378771
2-(3-chloropropyloxy)naphthazarin	hsa-mir-130b	378771
2-(3-chloropropyloxy)naphthazarin	hsa-mir-181d	378771
2-(3-chloropropyloxy)naphthazarin	hsa-mir-182	378771
2-(3-chloropropyloxy)naphthazarin	hsa-mir-210	378771
2-(3-chloropropyloxy)naphthazarin	hsa-mir-218-1	378771
2-(3-chloropropyloxy)naphthazarin	hsa-mir-22	378771
2-(3-chloropropyloxy)naphthazarin	hsa-mir-30a	378771
2-(3-chloropropyloxy)naphthazarin	hsa-mir-339	378771
2-(3-chloropropyloxy)naphthazarin	hsa-mir-519a-2	378771
"2,3-diazido-phenalen-1-on"	hsa-mir-151	387478
"2,3-diazido-phenalen-1-on"	hsa-mir-18b	387478
"2,3-dihydro-2-(3'-benzyloxyphenyl)-4-quinazoline"	hsa-mir-151	300572
"2,3-dihydro-2-(3'-benzyloxyphenyl)-4-quinazoline"	hsa-mir-28	300572
"2,3-dihydro-2-(3'-benzyloxyphenyl)-4-quinazoline"	hsa-mir-30a	300572
"2,3-dihydro-2-(3'-benzyloxyphenyl)-4-quinazoline"	hsa-mir-30d	300572
"2,3-dihydro-2-(3'-benzyloxyphenyl)-4-quinazoline"	hsa-mir-30e	300572
23-o-acetylshengmanol xyloside	hsa-let-7a-1	399180
23-o-acetylshengmanol xyloside	hsa-let-7a-3	399180
23-o-acetylshengmanol xyloside	hsa-let-7c	399180
23-o-acetylshengmanol xyloside	hsa-let-7d	399180
23-o-acetylshengmanol xyloside	hsa-let-7f-2	399180
23-o-acetylshengmanol xyloside	hsa-mir-142	399180
23-o-acetylshengmanol xyloside	hsa-mir-153-2	399180
23-o-acetylshengmanol xyloside	hsa-mir-181a-2	399180
23-o-acetylshengmanol xyloside	hsa-mir-193a	399180
23-o-acetylshengmanol xyloside	hsa-mir-21	399180
23-o-acetylshengmanol xyloside	hsa-mir-23a	399180
23-o-acetylshengmanol xyloside	hsa-mir-23b	399180
23-o-acetylshengmanol xyloside	hsa-mir-24-1	399180
23-o-acetylshengmanol xyloside	hsa-mir-24-2	399180
23-o-acetylshengmanol xyloside	hsa-mir-27a	399180
23-o-acetylshengmanol xyloside	hsa-mir-27b	399180
23-o-acetylshengmanol xyloside	hsa-mir-28	399180
23-o-acetylshengmanol xyloside	hsa-mir-29a	399180
23-o-acetylshengmanol xyloside	hsa-mir-29b-1	399180
23-o-acetylshengmanol xyloside	hsa-mir-29b-2	399180
23-o-acetylshengmanol xyloside	hsa-mir-29c	399180
23-o-acetylshengmanol xyloside	hsa-mir-365-2	399180
